ID,ATHLETE_FIRST_NAME,ATHLETE_LAST_NAME,ATHLETE_AGE,ATHLETE_LEAGUE
0,James,LeBron,30,NBA
1,Steph,Curry,25,NBA
2,Calvin,Johnson,40,NFL
4,Amora,ST-BROWN,25,NFL
5,Devin,Booker,27,NBA
6,Jared,Goff,29,NFL
7,Kevin,Durand,31,NBA
8,Cade,Cunnigham,21,NBA
9,Jameson,Williams,24,NFL
10,Kylian,Mbappe,26,Soccer
11,Lionel,Messi,36,Soccer
12,Tom,Brady,45,NFL
13,Serena,Williams,41,Tennis
14,Naomi,Osaka,25,Tennis
15,Novak,Djokovic,37,Tennis
16,Rafael,Nadal,38,Tennis
17,Patrick,Mahomes,28,NFL
18,Giannis,Antetokounmpo,29,NBA
19,Joel,Embiid,30,NBA
20,Kobe,Bryant,41,NBA
21,Luka,Doncic,24,NBA
22,Trae,Young,25,NBA
23,Jayson,Tatum,26,NBA
24,Klay,Thompson,33,NBA
25,Saquon,Barkley,26,NFL
26,Christian,McCaffrey,27,NFL
27,Cooper,Kupp,30,NFL
28,Travis,Kelce,34,NFL
29,George,Kittle,30,NFL
30,Megan,Rapinoe,38,Soccer
31,Alex,Morgan,34,Soccer
32,Erling,Haaland,23,Soccer
33,Harry,Kane,30,Soccer
34,Virgil,van Dijk,32,Soccer
35,Neymar,Jr,32,Soccer
36,Zlatan,Ibrahimovic,42,Soccer
37,Ronaldinho,Gaucho,43,Soccer
38,Derrick,Rose,35,NBA
39,Zion,Williamson,23,NBA
40,Karl-Anthony,Towns,28,NBA
41,Russell,Wilson,35,NFL
42,Aaron,Rodgers,40,NFL
43,Dak,Prescott,30,NFL
44,Josh,Allen,27,NFL
45,Deebo,Samuel,28,NFL
46,Lamar,Jackson,27,NFL
47,Deshaun,Watson,28,NFL
48,Kyler,Murray,26,NFL
49,Chris,Paul,39,NBA
